recipe_id,title,description,ingredients,instructions,n_ingredients,n_instructions,temps_preparation,niveau_calorie,image_path,cuisine,tags,difficulte,regime,note_moyenne,nb_avis
41,Rfissa,"Plat marocain traditionnel à base de poulet, lentilles et msemen émietté.",1 poulet ; 250 g de lentilles ; 2 oignons ; 1 bouquet de coriandre ; 1 bouquet de persil ; 1 cuillère à soupe de ras el hanout ; 1 cuillère à café de gingembre ; 4 msemen ; sel ; poivre,Faire revenir les oignons ; Ajouter le poulet et les épices ; Ajouter les lentilles et cuire ; Préparer le msemen ; Servir le poulet sur le msemen émietté,10,5,120,650,Images/Rfissa.jpg,marocaine,"msemen,poulet,lentilles,rfissa",moyenne,normal,4.8,95
42,Okonomiyaki,rêpe salée japonaise garnie de chou et de viande.,200 g de chou ; 150 g de farine ; 2 œufs ; 100 g de poitrine fumée ; sauce okonomiyaki ; mayonnaise,Mélanger les ingrédients ; Cuire en crêpe épaisse ; Ajouter les sauces ; Servir chaud,6,4,35,520,Images/Okonomiyaki.jpg,japonaise,"okonomiyaki,chou",facile,normal,4.5,90
43,Bulgogi,Plat coréen de bœuf mariné grillé.,500 g de bœuf ; sauce soja ; sucre ; ail ; huile de sésame ; oignons verts,Mariner la viande ; Griller à feu vif ; Servir avec du riz,6,3,30,430,Images/Bulgogi.jpg,coréenne,"bulgogi,boeuf",facile,normal,4.8,150
44,Tteokbokki,Gâteaux de riz coréens dans une sauce pimentée.,400 g de tteok ; gochujang ; sucre ; ail ; oignons verts ; eau,Préparer la sauce ; Ajouter les tteok ; Cuire jusqu'à épaississement ; Servir chaud,6,4,30,430,Images/Tteokbokki.jpg,coréenne,"tteokbokki,pimenté",facile,végétarien,4.6,120
45,Palak Paneer,Curry indien aux épinards et fromage paneer.,300 g d'épinards ; 200 g de paneer ; ail ; gingembre ; crème ; épices,Cuire les épinards ; Mixer ; Ajouter le paneer ; Mijoter avec les épices,6,4,40,480,Images/Palak_paneer.jpg,indienne,"palak,paneer",facile,végétarien,4.6,110
46,Adana Kebab,Kebab turc épicé grillé.,viande hachée agneau; piment; oignon; paprika,Mélanger; Former brochettes; Griller,4,3,45,530,Images/Adana_kebab.jpg,turque,"kebab,grill,viande",moyenne,normal,4.8,220
47,Pho Bo,Soupe de nouilles vietnamienne emblématique au boeuf,500 g de boeuf tendre ; 200 g de nouilles de riz ; 2 L de bouillon d'os de boeuf ; 2 étoiles de badiane ; 3 clous de girofle ; 1 bâton de cannelle ; 1 oignon grillé ; 1 morceau de gingembre grilé ; 100 g de germes de soja ; basilic thai ; coriandre ; menthe ; citron vert ; sauce de poisson ; piment ; sel,"Griller l'oignon et le gingembre au four ; Faire bouillir le bouillon avec épices et oignon grillé ; Laisser mijoter 3h ; Filtrer le bouillon ; Cuire les nouilles à  part ; Trancher finement le boeuf ; Disposer nouilles et boeuf dans le bol ; Verser le bouillon brulant ; Garnir de herbes et germes ; Servir avec citron, piment et sauce de poisson",16,9,240,380,Images/Pho_bo.jpg,vietnamienne,"pho,boeuf,nouilles,bouillon,vietnam",moyenne,sans gluten,4.8,310
48,Lasagnes a la bolognaise,Gratin de pates alternant feuilles de lasagne sauce bolognaise et bechamel gratinee au fromage.,500 g de feuilles de lasagne ; 400 g de viande hachee ; 300 g de sauce tomate ; 200 g de fromage rape ; 50 g de beurre ; 50 g de farine ; 500 ml de lait ; 1 oignon ; 2 gousses d ail ; sel ; poivre ; huile d olive ; thym,Faire revenir l oignon et l ail ; Ajouter la viande et la faire dorer ; Incorporer la sauce tomate et le thym ; Laisser mijoter 30 min ; Preparer la bechamel ; Alterner lasagne bolognaise et bechamel dans un plat ; Parsemer de fromage ; Cuire a 180C 35 min ; Laisser reposer 10 min,13,9,90,260,Images/Lasagnes_bolognaise.jpg,italienne,"lasagnes,bolognaise,pates,gratin,fromage",moyenne,normal,4.7,380
49,Ratatouille provencale,Plat de legumes du sud de la France mijotes dans l huile d olive avec herbes de Provence.,2 aubergines ; 3 courgettes ; 3 poivrons ; 4 tomates ; 2 oignons ; 4 gousses d ail ; huile d olive ; thym ; romarin ; laurier ; sel ; poivre,Couper tous les legumes en des ; Faire revenir les oignons dans l huile ; Ajouter les poivrons puis les aubergines ; Incorporer les courgettes ; Ajouter les tomates et les herbes ; Couvrir et mijoter 45 min a feu doux ; Rectifier l assaisonnement ; Servir chaud ou froid,10,8,60,220,Images/Ratatouille.jpg,française,"ratatouille,legumes,provence,ete,vegetalien",facile,végétalien,4.6,290
50,Paella valencienne,Riz safrane espagnol garni de fruits de mer poulet et chorizo un classique de Valence.,400 g de riz rond ; 200 g de poulet ; 150 g de crevettes ; 100 g de moules ; 100 g de chorizo ; 1 poivron ; 2 tomates ; 3 gousses d ail ; 1 L de bouillon de volaille ; safran ; huile d olive ; sel ; poivre ; citron,Faire revenir le poulet et le chorizo ; Ajouter les legumes et l ail ; Incorporer le riz et le safran ; Verser le bouillon chaud ; Laisser cuire 20 min sans remuer ; Ajouter les fruits de mer ; Cuire encore 10 min ; Laisser reposer 5 min ; Servir avec des quartiers de citron,13,9,55,580,Images/Paella_valencienne.jpg,espagnole,"paella,riz,fruits de mer,valence,safran",moyen,normal,4.8,410
51,Gyoza au porc,Raviolis japonais fumes au porc et legumes cuisines a la poele croustillants d un cote.,300 g de porc hache ; 200 g de chou chinois ; 2 oignons verts ; 1 cuillere a cafe de gingembre rape ; 2 cuilleres a soupe de sauce soja ; 1 cuillere a soupe d huile de sesame ; 30 wrappers gyoza ; sel ; poivre ; huile vegetale,Hacher finement le chou et les oignons ; Melanger avec le porc le gingembre et les sauces ; Deposer une cuillere de farce sur chaque wrapper ; Plier en demi-lune et sceller ; Faire dorer a la poele cote plat ; Ajouter un fond d eau et couvrir ; Cuire a la vapeur 5 min ; Retirer le couvercle et faire dorer ; Servir avec sauce soja,12,9,45,320,Images/Gyoza_porc.jpg,japonaise,"gyoza,raviolis,porc,japonais,aperitif",moyen,normal,4.7,260
52,Boeuf Stroganoff,Plat russe de boeuf saute dans une sauce cremeuse a la moutarde et aux champignons.,500 g de boeuf tendre ; 200 g de champignons ; 1 oignon ; 200 ml de creme fraiche ; 2 cuilleres a soupe de moutarde  ; 50 g de beurre ; sel ; poivre ; persil ; pates fraiches,Couper le boeuf en lamelles ; Faire revenir l oignon et les champignons dans le beurre ; Reserver ; Faire saisir le boeuf rapidement ; Remettre les legumes ; Ajouter le cognac et flamber ; Incorporer la creme et la moutarde ; Laisser mijoter 10 min ; Parsemer de persil ; Servir sur des pates,11,9,35,540,Images/Boeuf_stroganoff.jpg,russe,"stroganoff,boeuf,champignons,creme,russe",moyen,normal,4.6,180
53,Arepas venezuelienes,Galettes de mais farcies typiques du Venezuela croustillantes a l exterieur et moelleuses a l interieur.,300 g de farine de mais precuite ; 300 ml d eau tiede ; 1 cuillere a cafe de sel ; 100 g de fromage blanc ; 100 g de jambon ; beurre ; huile vegetale,Melanger la farine le sel et l eau ; Petrir jusqu a obtenir une pate lisse ; Former des boules et les aplatir ; Faire cuire a la poele 7 min de chaque cote ; Ouvrir en deux ; Farcir de fromage et de jambon ; Remettre a chauffer pour faire fondre le fromage ; Servir chaud,9,7,30,380,Images/Arepas.jpg,venezuelienne,"arepas,mais,fromage,venezuela,street food",facile,végétarien,4.5,145
54,Kimchi jjigae,Ragout coreen epice au kimchi porc et tofu reconfortant et parfume.,300 g de kimchi ; 200 g de poitrine de porc ; 200 g de tofu ferme ; 1 oignon ; 2 gousses d ail ; 1 cuillere a soupe de pate de piment coreen ; 1 cuillere a soupe de sauce soja ; 500 ml de bouillon ; huile de sesame ; oignons verts,Faire revenir le porc dans l huile ; Ajouter l oignon et l ail ; Incorporer le kimchi et la pate de piment ; Verser le bouillon ; Laisser mijoter 20 min ; Ajouter le tofu en des ; Cuire encore 5 min ; Garnir d oignons verts ; Servir bouillant avec du riz,11,9,35,420,Images/Kimchi_jjigae.jpg,coréenne,"kimchi,jjigae,coreen,epice,tofu",moyen,normal,4.7,210
55,Ceviche peruvien,Poisson cru marine dans du citron vert avec oignons piment et coriandre specialite peruvienne.,400 g de filet de poisson blanc ; 10 citrons verts ; 1 oignon rouge ; 1 piment jalapeno ; coriandre fraiche ; sel ; poivre ; mais grille ; patate douce,Couper le poisson en petits des ; Presser les citrons verts ; Mariner le poisson 15 min dans le jus ; Emincer l oignon et le piment ; Ajouter au poisson ; Saler et poivrer ; Laisser mariner 10 min de plus ; Egoutter legerement ; Servir avec mais et patate douce,10,8,30,280,Images/Ceviche.jpg,peruvienne,"ceviche,poisson,citron vert,perou,marine",facile,sans gluten,4.8,320
56,Mapo tofu,Plat sichuanais epice au tofu hache de porc et piment specialite de Chengdu.,400 g de tofu ferme ; 200 g de porc hache ; 2 cuilleres a soupe de pate de haricot fermente ; 1 cuillere a soupe de pate de piment ; 2 oignons verts ; 2 gousses d ail ; gingembre ; sauce soja ; huile de sesame ; poivre du Sichuan ; bouillon de poulet,Couper le tofu en cubes ; Faire revenir le porc hache ; Ajouter pate de haricot ail et gingembre ; Incorporer la pate de piment ; Verser le bouillon ; Ajouter le tofu delicatement ; Laisser mijoter 10 min ; Lier avec de la fecule ; Garnir d oignons verts ; Servir avec du riz,12,10,30,380,Images/Mapo_tofu.jpg,chinoise,"mapo tofu,sichuan,epice,tofu,chinois",moyen,normal,4.6,195
57,Tacos de poisson,Tacos mexicains au poisson pane frit servis avec chou blanc sauce crema et piment.,400 g de filet de poisson blanc ; 8 tortillas de mais ; 200 g de chou blanc rape ; 1 oignon rouge ; coriandre ; 150 g de farine ; 1 oeuf ; 100 ml de biere ; huile de friture ; sauce crema ; citron vert,Preparer la pate a friture avec farine oeuf et biere ; Couper le poisson en languettes ; Tremper dans la pate et frire dore ; Rechauffer les tortillas ; Garnir de chou et d oignon ; Ajouter le poisson frit ; Arroser de sauce crema ; Parsemer de coriandre ; Servir avec citron vert,12,8,40,480,Images/Tacos_poisson.jpg,mexicaine,"tacos,poisson,mexicain,friture,street food",moyen,normal,4.6,195
58,Moules mariniere,Moules cuites au vin blanc avec echalotes ail et persil classique de la cote francaise.,2 kg de moules ; 4 echalotes ; 4 gousses d ail ; 50 g de beurre ; persil frais ; sel ; poivre ; pain de campagne,Nettoyer les moules et retirer les filaments ; Faire revenir les echalotes dans le beurre ; Ajouter l ail ; Verser le vin blanc ; Porter a ebullition ; Ajouter les moules ; Couvrir et cuire 5 min jusqu a ouverture ; Jeter les moules fermees ; Parsemer de persil ; Servir avec le pain,10,8,25,340,Images/Moules_mariniere.jpg,française,"moules,mariniere,vin blanc,fruits de mer,classique",facile,sans gluten,4.7,280
59,Dim sum aux crevettes,Petits raviolis chinois vapeur farcis aux crevettes et bambou.,300 g de crevettes ; 100 g de pousses de bambou ; 2 oignons verts ; 1 cuillere a cafe de gingembre ; 1 cuillere a soupe de sauce soja ; 1 cuillere a soupe d huile de sesame ; 20 wrappers ronds ; sel ; poivre,Hacher finement les crevettes et les bambous ; Melanger avec les aromates et les sauces ; Deposer une cuillere de farce au centre ; Plier en chausson et sceller ; Disposer dans un panier vapeur ; Cuire a la vapeur 8 min ; Servir chaud avec sauce soja,10,7,40,260,Images/Dim_sum_crevettes.jpg,chinoise,"dim sum,crevettes,vapeur,chinois,raviolis",moyen,sans lactose,4.5,175
70,Tarte au citron meringuee,Dessert francais classique avec creme au citron et meringue doree.,1 pate brisee ; 4 citrons ; 150 g de sucre ; 3 oeufs ; 100 g de beurre ; 3 blancs d oeufs ; 150 g de sucre glace ; sel,Pre cuire la pate a blanc ; Presser les citrons ; Battre les oeufs avec le sucre ; Ajouter le jus de citron et le beurre ; Cuire a feu doux jusqu a epaississement ; Verser sur le fond de tarte ; Battre les blancs en neige avec le sucre glace ; Etaler la meringue ; Dorer au four 10 min a 200C ; Laisser refroidir,10,9,60,420,Images/Tarte_citron.jpg,française,"tarte,citron,meringuee,dessert,francais",moyen,végétarien,4.8,450
71,Tempura de legumes,Beignets japonais legers de legumes en pate croustillante.,1 aubergine ; 2 courgettes ; 1 poivron ; 100 g de champignons ; 150 g de farine ; 1 oeuf ; 200 ml d eau glacee ; huile de friture ; sel ; sauce tempura,Couper les legumes en lamelles ; Preparer la pate avec farine oeuf et eau glacee ; Ne pas trop melanger ; Chauffer l huile a 170C ; Tremper les legumes dans la pate ; Frire 2-3 min jusqu a dore ; Egoutter sur papier absorbant ; Saler ; Servir avec sauce tempura,10,8,25,310,Images/Tempura_legumes.jpg,japonaise,"tempura,legumes,japonais,beignet,friture",facile,végétarien,4.6,220
72,Riz cantonais,Riz saute chinois avec oeufs jambon petits pois et oignons verts.,400 g de riz cuit refroidi ; 150 g de jambon ; 100 g de petits pois ; 3 oeufs ; 3 oignons verts ; 2 cuilleres a soupe de sauce soja ; 1 cuillere a soupe d huile de sesame ; huile vegetale ; sel ; poivre,Faire chauffer l huile a feu vif ; Brouiller les oeufs et reserver ; Faire revenir le jambon ; Ajouter les petits pois ; Incorporer le riz et bien separer les grains ; Ajouter les oeufs brouilles ; Assaisonner avec sauce soja et huile de sesame ; Parsemer d oignons verts ; Servir immediatement,10,8,20,420,Images/Riz_cantonais.jpg,chinoise,"riz cantonais,chinois,saute,jambon,rapide",facile,normal,4.5,310
73,Tarte aux pommes normande,Dessert classique avec pate brisee pommes caramelisees et creme fraiche.,1 pate brisee ; 6 pommes ; 100 g de sucre ; 50 g de beurre ; 200 ml de creme fraiche ; 2 oeufs ; 1 cuillere a cafe de cannelle ; jus de citron ; sel,Eplucher et couper les pommes en quartiers ; Faire carameliser dans le beurre et le sucre ; Disposer sur le fond de tarte ; Battre les oeufs avec la creme et la cannelle ; Verser sur les pommes ; Cuire a 180C 35 min ; Laisser tiedir ; Servir avec une creme fraiche,9,7,55,380,Images/Tarte_pommes_normande.jpg,française,"tarte,pommes,normande,dessert,creme",facile,végétarien,4.6,340
74,Bun cha vietnamien,Salade de nouilles de riz avec boulettes de porc grillees et herbes fraiches.,300 g de porc hache ; 200 g de nouilles de riz ; 1 oignon ; 2 gousses d ail ; 3 cuilleres a soupe de sauce poisson ; 2 cuilleres a soupe de sucre ; 2 cuilleres a soupe de vinaigre de riz ; menthe ; coriandre ; basilic thai ; salade ; concombre ; carotte ; piment,Mariner le porc avec ail sauce poisson et sucre ; Former des boulettes ; Griller les boulettes ; Cuire les nouilles et les rafraichir ; Preparer la sauce avec vinaigre sucre et eau ; Disposer les nouilles dans les bols ; Ajouter les boulettes ; Garnir de legumes et herbes ; Arroser de sauce ; Servir avec piment,14,9,40,420,Images/Bun_cha.jpg,vietnamienne,"bun cha,vietnamien,nouilles,porc,herbes",moyen,sans lactose,4.7,230
75,Flan caramel,Dessert classique francais a base de creme vanille et caramel liquide.,1 L de lait ; 200 g de sucre ; 6 oeufs ; 1 gousse de vanille ; 100 g de sucre pour le caramel ; sel,Prechauffer le four a 150C ; Faire fondre 100 g de sucre pour le caramel ; Verser dans le fond des ramequins ; Faire bouillir le lait avec la vanille ; Battre les oeufs avec le sucre ; Verser le lait chaud sur les oeufs en remuant ; Filtrer ; Repartir dans les ramequins ; Cuire au bain-marie 45 min ; Laisser refroidir et demouler,8,9,70,310,Images/Flan_caramel.jpg,française,"flan,caramel,vanille,dessert,classique",facile,végétarien,4.7,420
76,Nasi lemak,Plat malaisien de riz cuit au lait de coco servi avec anchois cacahuetes et sambal.,300 g de riz ; 200 ml de lait de coco ; 100 g d anchois ; 100 g de cacahuetes ; 2 oeufs ; 1 concombre ; sambal ; pate de crevettes ; ail ; gingembre ; feuille de pandan,Rincer le riz ; Cuire avec lait de coco eau et pandan ; Frire les anchois jusqu a croustillants ; Faire frire les cacahuetes ; Preparer les oeufs durs ; Couper le concombre en rondelles ; Disposer le riz au centre ; Arranger anchois cacahuetes oeuf et concombre autour ; Servir avec sambal,11,9,35,520,Images/Nasi_lemak.jpg,malaisienne,"nasi lemak,malaisien,riz,coco,sambal",moyen,sans lactose,4.6,180
77,Samoussas aux legumes,Triangles croustillants farcis de legumes epices frits specialite indienne.,200 g de pommes de terre ; 100 g de petits pois ; 1 oignon ; 2 gousses d ail ; gingembre ; curry ; cumin ; coriandre ; 10 feuilles de brick ; huile de friture ; sel ; coriandre fraiche,Cuire les pommes de terre et les ecraser ; Faire revenir oignon ail et gingembre ; Ajouter les epices et les petits pois ; Melanger avec les pommes de terre ; Ajouter la coriandre ; Couper les feuilles de brick en bandes ; Deposer la farce ; Plier en triangle ; Sceller ; Frire jusqu a dore ; Egoutter,12,10,45,340,Images/Samoussas_legumes.jpg,indienne,"samoussas,legumes,indien,friture,végétarien",moyen,végétarien,4.5,210
78,Croissant au beurre,Viennoiserie francaise feuilletee au beurre croustillante et fondante.,500 g de farine T55 ; 300 g de beurre de tourage ; 60 g de sucre ; 10 g de sel ; 20 g de levure fraiche ; 250 ml de lait ; 1 oeuf pour dorure,Preparer la detrempe avec farine sucre sel levure et lait ; Laisser lever 1h ; Abaisser le beurre en carre ; Tourer la pate 3 fois avec repos entre chaque tour ; Etaler la pate ; Couper en triangles ; Rouler en croissants ; Laisser pousser 2h ; Dorer a l oeuf ; Cuire a 180C 18 min,10,10,240,420,Images/Croissant_beurre.jpg,française,"croissant,beurre,viennoiserie,francais,petit-dejeuner",difficile,végétarien,4.8,510
79,Baba au rhum,Dessert francais imbibé de rhum et garni de creme chantilly.,200 g de farine ; 100 g de beurre ; 4 oeufs ; 20 g de levure fraiche ; 1 pincee de sel ; 200 g de sucre ; 200 ml d eau ; 200 ml de creme liquide ; sucre glace,Preparer la pate a baba avec farine beurre oeufs et levure ; Laisser lever 1h ; Cuire dans des moules a 180C 20 min ; Preparer le sirop avec eau sucre et rhum ; Imbiber les babas encore chauds ; Laisser refroidir ; Monter la creme en chantilly ; Garnir les babas ; Saupoudrer de sucre glace,10,10,90,420,Images/Baba_rhum.jpg,française,"baba au rhum,rhum,dessert,classique,francais",moyen,végétarien,4.5,195
80,Donburi au boeuf,Bol japonais de boeuf saute sur riz avec oignons et sauce sucree-salee.,300 g de boeuf tranche finement ; 1 oignon ; 200 ml de dashi ; 3 cuilleres a soupe de sauce soja ; 2 cuilleres a soupe de mirin ; 1 cuillere a soupe de sucre ; 2 oignons verts ; 300 g de riz ; gingembre rape ; sel,Cuire le riz ; Emincer l oignon finement ; Faire sauter le boeuf rapidement ; Ajouter l oignon ; Verser dashi sauce soja mirin et sucre ; Laisser mijoter 10 min ; Disposer le riz dans les bols ; Napper de boeuf et sauce ; Garnir d oignons verts et gingembre,10,9,25,510,Images/Donburi_boeuf.jpg,japonaise,"donburi,boeuf,japonais,bol,riz",facile,normal,4.7,270
81,Shawarma au poulet,Brochette de poulet marine epicee a la mode libanaise servie avec sauce tahini.,500 g de filet de poulet ; 2 cuilleres a soupe de yaourt ; 1 cuillere a soupe de jus de citron ; 2 gousses d ail ; cumin ; paprika ; cannelle ; coriandre ; piment de Cayenne ; huile d olive ; sel ; pain pita ; salade ; tomate ; oignon ; sauce tahini,Couper le poulet en lamelles ; Mariner avec yaourt citron ail et epices 2h ; Enfiler sur des brochettes ; Griller 10 min en retournant ; Chauffer les pains pita ; Garnir de salade tomate et oignon ; Ajouter le poulet grille ; Arroser de sauce tahini ; Rouler et servir chaud,14,9,40,460,Images/Shawarma_poulet.jpg,libanaise,"shawarma,poulet,libanais,tahini,street food",moyen,normal,4.7,275
82,Tajine d'agneau aux pois chiches,Tajine traditionnel marocain avec de l'agneau tendre mijoté aux pois chiches et aux épices orientales.,500 g d'agneau ; 200 g de pois chiches ; 2 oignons ; 3 tomates ; 3 gousses d'ail ; 1 cuillère à  café de cumin ; 1 cuillère à  café de cannelle ; 1 cuillère à  café de curcuma ; 1 cuillère à  café de paprika ; 2 cuillères à  soupe d'huile d'olive ; 1 bouquet de coriandre frîche ; sel ; poivre ; 300 ml d'eau,Faire revenir les oignons dans l'huile d'olive ; Ajouter l'agneau et le faire dorer ; Incorporer les épices et l'ail ; Ajouter les tomates concassées ; Verser l'eau et les pois chiches ; Laisser mijoter 1h30 à  feu doux ; Ajouter la coriandre frîche ; Servir chaud avec du pain,14,8,100,520,Images/Tajine_agneau_pois_chiches.jpg,marocaine,"tajine,agneau,pois chiches,épices,mijoté",moyen,normal,4.7,145
83,Harcha aux olives,"Galette marocaine à  la semoule et aux olives, croustillante à  l'extérieur et moelleuse à  l'intérieur.",300 g de semoule fine ; 100 g de farine ; 1 cuillère à  café de levure sèche ; 1 cuillère à  café de sel ; 150 g d'olives vertes ; 2 cuillères à  soupe d'huile d'olive ; 200 ml d'eau tiède ; beurre,"Mélanger la semoule, la farine, la levure et le sel ; Ajouter l'eau tiède progressivement ; Incorporer les olives hachées ; Pétrir jusqu'à  obtenir une pâte lisse ; Former des galettes ; Cuire à  la poêle avec de l'huile d'olive ; Retourner jusqu'à  dorure ; Servir chaud avec du beurre",8,8,35,340,Images/Harcha_olives.jpg,marocaine,"harcha,semoule,olives,petit-déjeuner,galette",facile,végétarien,4.5,98
84,Lahmacun turc,"Pizza turque fine garnie de viande hachée épicée, tomates et persil, cuite au four bien croustillante.",300 g de farine ; 1 cuillère à  café de levure sèche ; 200 ml d'eau tiède ; 1 pincée de sel ; 300 g de boeuf haché ; 2 tomates ; 1 oignon ; 2 gousses d'ail ; 1 bouquet de persil ; 1 cuillère à  café de cumin ; 1 cuillère à  café de paprika ; 1 cuillère à  soupe d'huile d'olive ; sel ; poivre,"Préparer la pâte avec la farine, la levure, l'eau et le sel ; Laisser lever 1h ; Hacher finement les tomates, l'oignon, l'ail et le persil ; Mélanger avec la viande hachée et les épices ; Étaler la pâte finement ; Répartir la garniture ; Cuire au four à  220Â°C 10 min ; Servir chaud avec du citron",14,8,80,450,Images/Lahmacun.jpg,turque,"lahmacun,turc,pizza,viande hachée,épicé",moyen,normal,4.6,210
85,Manti turc,"Raviolis turcs farcis à  la viande, servis avec une sauce au yaourt à  l'ail et au beurre épicé.",300 g de farine ; 2 oeufs ; 1 pincée de sel ; 200 g de boeuf haché ; 1 oignon ; 1 cuillère à  café de cumin ; 200 g de yaourt ; 2 gousses d'ail ; 50 g de beurre ; 1 cuillère à  café de paprika ; sel ; poivre,"Préparer la pâte avec la farine, les oeufs et le sel ; Laisser reposer 30 min ; Mélanger le boeuf haché avec l'oignon haché, le cumin, le sel et le poivre ; Étaler la pâte et découper des carrés ; Déposer une cuillère de farce ; Plier en triangle ; Cuire à  l'eau bouillante 10 min ; Préparer la sauce yaourt à  l'ail ; Faire fondre le beurre avec le paprika ; Napper les manti de yaourt et de beurre épicé",12,10,90,480,Images/Manti.jpg,turque,"manti,turc,ravioli,yaourt,viande",difficile,normal,4.8,175
86,Taboulé libanais,"Salade frîche libanaise à  base de persil haché, tomates, oignons et boulgour, assaisonnée au citron et à  l'huile d'olive.",200 g de persil ; 3 tomates ; 1 oignon rouge ; 100 g de riz ; 2 cuillères à  soupe d'huile d'olive ; jus de 2 citrons ; 1 cuillère à  café de cumin ; sel ; poivre ; menthe frîche,"Laver et hacher finement le persil ; Couper les tomates et l'oignon en petits dés ; Cuire le riz et le laisser refroidir ; Mélanger le persil, les tomates, l'oignon et le riz ; Assaisonner avec l'huile d'olive, le jus de citron, le cumin, le sel et le poivre ; Ajouter la menthe frîche ; Laisser mariner 30 min au réfrigérateur ; Servir frais",10,8,25,220,Images/Taboule.jpg,libanaise,"taboulé,libanais,salade,persil,frais",facile,végétarien,4.7,320
87,Kibbeh libanais,"Boulettes de viande hachée et de boulgour, farcies et frites, un classique incontournable de la cuisine libanaise.",300 g de boeuf haché ; 150 g de riz ; 1 oignon ; 2 gousses d'ail ; 1 cuillère à  café de cumin ; 1 cuillère à  café de cannelle ; 2 cuillères à  soupe d'huile d'olive ; huile de friture ; sel ; poivre ; persil ; menthe,"Laver le riz et le laisser gonfler 2h ; Mixer le riz avec la moitié de la viande hachée ; Hacher l'oignon et l'ail ; Mélanger avec le reste de viande, les épices et les herbes ; Former des boulettes avec la pâte de riz ; Farcir avec le mélange de viande ; Fermer et façonner en ovale ; Frire dans l'huile chaude jusqu'à  dorure ; Égoutter sur papier absorbant ; Servir chaud avec du tahini",12,9,120,420,Images/Kibbeh.jpg,libanaise,"kibbeh,libanais,boulettes,viande,friture",difficile,normal,4.8,185
88,Spanakopita grecque,"Tourte feuilletée grecque au chou et à  la feta, croustillante et savoureuse.",300 g de chou ; 200 g de feta ; 200 g de pâte filo ; 2 oignons ; 2 gousses d'ail ; 2 oeufs ; 50 g de beurre fondu ; 1 cuillère à  café de cumin ; sel ; poivre ; huile d'olive,Laver et hacher le chou ; Faire revenir les oignons et l'ail dans l'huile d'olive ; Ajouter le chou et cuire jusqu'à  réduction ; Laisser refroidir ; Émietter la feta et mélanger avec le chou ; Ajouter les oeufs battus et le cumin ; Étaler les feuilles de pâte filo en les badigeonnant de beurre ; Répartir la farce ; Plier en enveloppe ; Cuire au four à  180Â°C 35 min ; Servir chaud ou tiède,12,10,70,380,Images/Spanakopita.jpg,grecque,"spanakopita,grec,chou,feta,pâte filo",moyen,végétarien,4.7,240
89,Souvlaki de poulet,"Brochette de poulet marinée aux herbes grecques et grillée, servie avec une sauce au yaourt.",500 g de filet de poulet ; 2 cuillères à  soupe d'huile d'olive ; 2 gousses d'ail ; jus de 1 citron ; 1 cuillère à  café de cumin ; 1 cuillère à  café de paprika ; 1 cuillère à  café de thym ; 200 g de yaourt ; sel ; poivre ; oignons rouges ; tomates,"Couper le poulet en cubes ; Préparer la marinade avec l'huile d'olive, l'ail, le jus de citron, le cumin, le paprika, le thym, le sel et le poivre ; Mariner le poulet 2h au réfrigérateur ; Enfiler les morceaux sur des brochettes ; Griller 10 min en retournant ; Préparer la sauce au yaourt avec de l'ail haché et du citron ; Servir les brochettes avec la sauce, les oignons rouges et les tomates",13,7,150,360,Images/Souvlaki_poulet.jpg,grecque,"souvlaki,poulet,grec,brochette,grillé",facile,sans gluten,4.6,195
90,Chana masala,"Curry indien de pois chiches épicé à  la tomate, un plat végétarien nourrissant et parfumé.",400 g de pois chiches ; 3 tomates ; 1 oignon ; 3 gousses d'ail ; 1 cuillère à  café de cumin ; 1 cuillère à  café de curcuma ; 1 cuillère à  café de coriandre ; 1 cuillère à  café de paprika ; 2 cuillères à  soupe d'huile d'olive ; 200 ml d'eau ; coriandre fraîche ; sel ; piment,Faire revenir l'oignon dans l'huile d'olive ; Ajouter l'ail et les épices ; Incorporer les tomates concassées ; Ajouter les pois chiches et l'eau ; Laisser mijoter 30 min ; Ajuster l'assaisonnement ; Garnir de coriandre frîche ; Servir chaud avec du riz,13,8,40,310,Images/Chana_masala.jpg,indienne,"chana masala,pois chiches,curry,indien,végétarien",facile,végétalien,4.6,280
91,Biryani de poulet,"Riz indien parfumé au safran avec du poulet mariné et des épices, cuit lentement pour un plat festif.",400 g de riz ; 500 g de cuisses de poulet ; 2 oignons ; 3 tomates ; 3 gousses d'ail ; 1 cuillère à  café de cumin ; 1 cuillère à  café de curcuma ; 1 cuillère à  café de cannelle ; 1 cuillère à  café de safran ; 200 g de yaourt ; 2 cuillères à  soupe d'huile d'olive ; sel ; poivre ; coriandre frîche ; menthe,"Mariner le poulet dans le yaourt, l'ail et les épices 2h ; Faire dorer les oignons dans l'huile ; Ajouter le poulet mariné et faire revenir ; Incorporer les tomates ; Cuire le riz à  part avec le safran ; Disposer le poulet et le riz en couches dans un plat ; Cuire au four à  160°C 30 min ; Garnir de coriandre et de menthe ; Servir chaud",15,9,180,580,Images/Biryani_poulet.jpg,indienne,"biryani,poulet,riz,safran,festif",difficile,normal,4.9,310
